MYOR,MIKA,UNTR
0.027195754,0.010389709,0.028987477
-0.004889982,0.033039871,0.029038664
-0.050261862,0.076960963,0.018049439
-0.09737409,0.075760088,-0.005123792
0.057947165,-0.017316459,0.013605506
0.059835846,0.07160957,-0.004231865
-0.002528476,-0.004073429,0.02925426
0.012578805,-0.076308132,-0.001648967
-0.012578805,-0.073091925,0.042009386
-0.017880445,0.023420288,-0.01755828
-0.010362714,0.036367665,-0.012150822
0.020619271,-0.098440069,0.042287895
0.059423437,-0.035091276,0.016273227
0.03774024,0.015190111,0.06048071
-0.004640318,-0.064873557,-0.037178997
0.045462228,0.010666774,-0.009897331
-0.064242108,0.039016672,0.077272655
-0.014320043,-0.047006067,-0.07574355
0.019048121,-0.005361946,0.010638349
-0.08615408,-0.018996511,-0.039311405
0.052577809,0.005464497,0.052079062
0.014528151,-0.058923034,-0.018072649
0.183922756,0.053458537,0.004548927
-0.057628964,-0.002743488,0.03566494
-0.155564276,-0.005509659,0.033025281
0.062370407,-0.036572238,0.000705893
0.045462228,0.031032055,0.04417565
-0.008928625,0.056695309,0.010077294
0.026550326,-0.002628059,0.058420419
0.02159915,0.020834034,-0.011414421
0.004264449,-0.020834034,-0.015424417
0.016877918,0.095310108,-0.022266853
0.012474218,-0.009615404,-0.020067524
-0.008298797,0.019139292,-0.035767203
0.020619324,0.05531367,0.014598764
0.078471653,-0.060064157,-0.106204384
0.055059689,0.060064157,-0.017809235
0.052185845,-0.064837557,0
-0.020548826,-0.014458031,0.006230552
0.003454276,0.004842627,0.086234675
-0.035091295,-0.080445345,0.047296824
0.035091295,0.007822729,0.029453244
0.050430861,-0.078312576,-0.103297762
-0.057351211,0.011173237,0.050735455
-0.01398632,-0.025317752,0.01264059
0.024349055,0.02809168,0.045694919
0.027120371,-0.005555573,-0.067565227
0.032897596,0.046266714,-0.007158218
0.008719581,0,0
-0.039609103,-0.02969174,-0.053867674
0,0.02969174,-0.042592665
-0.006756734,0.018445922,0.060624647
0.026757424,0.033379176,-0.015760062
-0.02337335,0.005037797,-0.022954445
0.03648828,0.010000089,0.091644637
-0.02640415,-0.030305303,-0.014225037
0.003338877,0.015267417,0.038641924
-0.072570691,-0.05448815,-0.082572867
0.035214831,0.059525948,0.02366973
-0.003466183,-0.086554634,0.005830835
-0.03533938,-0.076851428,-0.037768076
0.024868067,0.023392892,-0.007575852
-0.054067197,0.04520539,0.012844904
0.007380147,-0.036572238,-0.009049838
-0.018553367,-0.049936979,-0.012195299
-0.018904208,-0.121555269,-0.017285647
0,-0.013698767,0.022630644
-0.007662818,-0.027973867,0.030397571
-0.015504269,0.010582115,-0.015843459
-0.01178797,0.010471305,0.059774423
-0.02400108,0.020619213,-0.002869457
-0.032924753,-0.013698767,-0.088580071
0.064799932,0.092170427,-0.146851327
-0.015810592,-0.061607844,0.065957963
0.035228732,0,0.001700539
0,-0.016863816,-0.051427302
0.007662818,0.068992911,-0.021700704
0.00760464,0.015748366,0.058579295
0.015037863,0.072320699,-0.042259798
-0.026466572,-0.100848799,-0.031980845
-0.003838749,0.037859432,-0.018744624
-0.011605656,-0.057340497,-0.012375155
0.034420266,0.006535893,-0.014472151
-0.022814609,0.13678343,-0.027587928
0.015267458,0.071263059,0.11054191
0,0.007905119,-0.053272502
-0.003795043,-0.002628059,-0.01520933
-0.003809596,0.031090603,0.014265441
-0.015385002,0.005089009,0.05421639
-0.003883473,-0.020513552,-0.034580436
-0.023623075,0.023048472,-0.023420191
0.00397612,0.032381364,-0.035700909
0.007905123,-0.02230577,0.024261343
0.00784322,0.017391752,0.056838699
0.026976684,0.075865734,-0.035965052
0.007575739,-0.041964105,0.016274543
-0.050300766,-0.0047734,-0.055814771
0,-0.090060749,0.011016531
0.015748343,-0.03733769,0.009910906
0,0,0
-0.023716555,0.058063831,0.059347604
0.003992093,-0.0259755,0.020239846
-0.012024207,-0.002635049,0.026955792
-0.032789793,0.028610549,-0.006224908
-0.039530854,-0.003484224,-0.006264054
-0.026668224,0.007761956,-0.02086252
0.086260305,0.083999976,-0.02788283
0.032523198,0.028039274,-0.07635802
-0.016129435,0.018265308,-0.058655504
-0.004073339,0.00900905,-0.122649248
-0.008196693,0.048149401,0
0.024391432,0.085942393,0.020519724
0,-0.052325753,0.030590588
-0.024391432,-0.046520069,0.054128324
-0.012422561,0.050643726,-0.034621016
-0.051293251,0.082887627,-0.071837931
0.008733601,0.104223588,-0.013521896
-0.017544259,-0.052551508,0.006168906
-0.008888977,0.024868055,0.045705057
-0.022574285,-0.099529603,0.016647157
-0.009174407,0.026770229,0.014051857
-0.013921269,0.022389037,0.079326815
0.027651507,-0.018622517,-0.039435575
-0.032335371,0,0.016620911
-0.033416048,0.003752295,-0.08362047
0,-0.038172585,0.018935516
-0.019608476,0.041910945,-0.007058905
-0.03526813,0.003724345,0.003535681
0.050010461,-0.011215,0.019802577
-0.009804032,0.003752295,-0.018626888
0.009804032,-0.011299577,0.044809375
-0.024692632,-0.082887627,-0.021579453
-0.020202711,0.036367615,-0.075079866
-0.020619291,0.031252572,-0.050772376
0.038318864,-0.011605569,-0.021053454
-0.00250942,0.007752055,-0.025590584
-0.017744441,-0.003868516,-0.005471895
-0.082603537,-0.03953085,-0.093391661
0.035474371,-0.024490966,0.04130386
-0.038256023,-0.265882926,-0.129411113
-0.146750055,0.075262544,-0.023295594
0.229574415,-0.086102734,0.042840196
-0.074502509,0.115661532,0.10115818
0.058998335,-0.07560276,-0.001458862
0.060624633,-0.042787247,0.011611185
0.066375052,0.058371944,-0.065597327
-0.013857081,0.00257403,0.004611879
-0.009345777,0.022872643,-0.029574161
0.004683864,0.183158777,-0.104833991
0,-0.029726166,0.024264653
0.027651507,0.021322774,0.07263909
0.044451689,0,0.085417678
-0.013129227,0.004210471,-0.038752897
0.004395626,-0.042925058,0.081678077
-0.008810659,-0.035718004,-0.080159463
0,0.078643061,0.086300741
-0.031463261,0.004652155,0.044198261
0.02702865,-0.038714512,0.02886781
0.022272636,0.025975486,0.052782813
0.034635497,0.025317808,0.09320462
-0.039050515,0.016529302,0.145751489
0.00881063,-0.059088916,-0.068053474
-0.013245227,0.012959145,0.017186367
0.064538521,0.017021688,-0.002132266
0.036813973,0.008403411,-0.013971229
-0.00402415,-0.051513534,-0.00760467
-0.041158072,0.026088436,0.037457654
0.016667052,0.03375848,-0.02553327
0,0.056466612,-0.02288932
0.004123717,-0.015810606,-0.012201985
-0.00826451,0.05804337,-0.016129861
0.00826451,0.007490672,0.002283055
-0.037740328,-0.018832948,-0.037170371
0.025317808,-0.050693114,-0.007125857
0.00415801,-0.087738914,0.007125857
0.028631813,0.05933944,0.008249904
-0.00404041,0.097925537,0.149107864
0.020040751,0.003724399,0.069329789
0.011834458,0.014760416,-0.013295473
0.071864561,-0.018484815,0.018001409
0.035846132,0.022141126,-0.020873611
-0.046855417,-0.003656311,0.019934224
0.046855417,-0.037317763,0.025059275
-0.028573372,-0.003809528,-0.040211119
-0.003629768,-0.054915758,-0.039907936
0.014440684,0.156452177,-0.096900317
-0.055262679,0.076322268,0.010881431
-0.015267472,-0.012861914,0.017167849
-0.003853569,-0.029558802,-0.018250662
0.045290759,-0.010050336,-0.023014726
0.007352974,-0.087930073,-0.033825061
0.025317808,0.039644831,-0.026730291
-0.028987537,0.02097979,0.030164768
-0.007380107,-0.04965559,0.001142179
-0.053244515,-0.056089467,0.012478884
0.034552382,-0.003853569,0.024500099
-0.030653741,0.007692346,-0.02901987
-0.047817874,-0.003838776,-0.021752403
0.004073325,0.007662873,0.001664423
0.063012968,0.007604599,0.026792517
-0.031010237,0.018762276,-0.013889112
-0.011881328,-0.034029749,0.010434877
0.035228692,-0.015504187,0.006896579
-0.011605546,0.015504187,0.075007584
-0.011741818,-0.039220713,-0.023657017
0,0.003992021,-0.041094066
